post_title,post_name,post_parent,ID,sku,parent_sku,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:Código,attribute_data:Código,attribute:Códigos,attribute_data:Códigos,attribute:Códigos:,attribute_data:Códigos:,attribute:Marca,attribute_data:Marca
"Carro doble para PVC",carro-doble-pvc,,1083,,,simple,,"Accesorios puertas y ventanas > Accesorios corredera PVC",,,,,,,,,,
"Cerradero y seguro antielevación",cerradero-seguro-antielevacion,,1084,,,simple,,"Accesorios puertas y ventanas > Accesorios corredera PVC",,,,,,,,,,
"Cierres multipunto",cierres-multipunto,,1085,,,simple,,"Accesorios puertas y ventanas|Accesorios puertas y ventanas > Accesorios corredera PVC",,,,,,,,,,
"Manillas para cierres multipunto",manillas-para-cierres-multipunto,,1086,,,simple,,"Accesorios puertas y ventanas|Accesorios puertas y ventanas > Accesorios corredera PVC",,,,,,,,,,
"Bisagra 3200",bisagra-3200,,1087,,,simple,,"Accesorios puertas y ventanas|Accesorios puertas y ventanas > Bisagras",,,,,,,,,,
"Bisagra Gold 2F 3200",bisagra-gold-2f-3200,,1088,,,simple,,"Accesorios puertas y ventanas|Accesorios puertas y ventanas > Bisagras",,,,,,,,,,
"Brazos Defender",brazos-defender,,1089,,,simple,,"Accesorios puertas y ventanas > Brazos proyección y abatir",,,,,,,,,Securistyle,0|1|0
"Brazos Defender Egress",brazos-defender-egress,,1090,,,simple,,"Accesorios puertas y ventanas > Brazos proyección y abatir",,,,,,,,,Securistyle,0|1|0
"Brazos Storm",brazos-storm,,1091,,,simple,,"Accesorios puertas y ventanas > Brazos proyección y abatir",,,,,,,,,Securistyle,0|1|0
"Brazos Yale",brazos-yale,,1092,,,simple,,"Accesorios puertas y ventanas > Brazos proyección y abatir",,,,,,,,,Yale,0|1|0
"Seguro ventana de proyección",seguro-ventana-de-proyeccion,,1093,,,simple,,"Accesorios puertas y ventanas > Brazos proyección y abatir",,,AQQ02,0|1|0,,,,,"Kin Long",1|1|0
"Cerradura antipánico IDEA",cerradura-antipanico-idea,,1094,,,simple,,"Accesorios puertas y ventanas > Cerraduras",,,,,,,,,,
"Cerradura Acero Inoxidable ISEO",cerradura-acero-inox-iseo,,1095,,,simple,,"Accesorios puertas y ventanas > Cerraduras",,,,,,,,,,
"Cerradura Scanavini 1280",cerradura-scanavini-1280,,1096,,,simple,,"Accesorios puertas y ventanas > Cerraduras",,,,,,,,,,
"Manillas para cerraduras",manillas-para-cerraduras,,1097,,,simple,,"Accesorios puertas y ventanas > Cerraduras",,,,,,,,,,
"Bisagra hidráulica HH300",bisagra-hidraulica-hh300,,1098,,,simple,,"Accesorios puertas y ventanas > Cierrapuertas",,,8402,0|1|0,,,,,,
"Cierrapuertas aéreo 100 kg OMV",cierrapuertas-aereo-100kg-omv,,1099,,,simple,,"Accesorios puertas y ventanas > Cierrapuertas",,,,,,,,,OMV,0|1|0
"Cierrapuertas aéreo ISEO IS65",cierrapuertas-aereo-iseo-is65,,1100,,,simple,,"Accesorios puertas y ventanas > Cierrapuertas",,,,,,,,,ISEO,0|1|0
"Cierrapuertas de piso 180 kg OMV",cierrapuertas-piso-180kg-omv,,1101,,,simple,,"Accesorios puertas y ventanas > Cierrapuertas",,,,,,,,,OMV,0|1|0
"Cierrapuertas de piso 220 kg OMV",cierrapuertas-piso-220kg-omv,,1102,,,simple,,"Accesorios puertas y ventanas > Cierrapuertas",,,,,,,,,OMV,0|1|0
"Cierrapuertas de piso 80 kg OMV",cierrapuertas-piso-80kg-omv,,1103,,,simple,,"Accesorios puertas y ventanas > Cierrapuertas",,,,,,,,,OMV,0|1|0
"Cierrapuertas de piso 120 kg OMV",cierrapuertas-piso-120kg-omv,,1104,,,simple,,"Accesorios puertas y ventanas > Cierrapuertas",,,,,,,,,OMV,0|1|0
"Cierrapuertas de piso MAB 7635",cierrapuertas-piso-mab-7635,,1105,,,simple,,"Accesorios puertas y ventanas > Cierrapuertas",,,8399,0|1|0,,,,,,
